[UE3] [2025-07-19 11:35:22] [  5]  43.00-44.00  sec  10.3 MBytes  86.6 Mbits/sec  0.078 ms  2897/10380 (28%)
[UE3] [2025-07-19 11:35:23] [  5]  44.00-45.00  sec  10.1 MBytes  85.0 Mbits/sec  0.077 ms  2969/10305 (29%)
[UE3] [2025-07-19 11:35:24] [  5]  45.00-46.00  sec  9.73 MBytes  81.6 Mbits/sec  0.088 ms  2732/9776 (28%)
[UE3] [2025-07-19 11:35:25] [  5]  46.00-47.00  sec  10.2 MBytes  85.2 Mbits/sec  0.110 ms  3144/10500 (30%)
[UE3] [2025-07-19 11:35:26] [  5]  47.00-48.00  sec  10.1 MBytes  85.2 Mbits/sec  0.071 ms  3028/10378 (29%)
[UE3] [2025-07-19 11:35:27] [  5]  48.00-49.00  sec  10.3 MBytes  86.8 Mbits/sec  0.082 ms  3145/10635 (30%)
[UE3] [2025-07-19 11:35:28] [  5]  49.00-50.00  sec  10.1 MBytes  85.1 Mbits/sec  0.086 ms  3047/10392 (29%)
[UE3] [2025-07-19 11:35:29] [  5]  50.00-51.00  sec  10.3 MBytes  86.7 Mbits/sec  0.087 ms  2905/10388 (28%)
[UE3] [2025-07-19 11:35:30] [  5]  51.00-52.00  sec  9.53 MBytes  79.9 Mbits/sec  0.081 ms  2952/9853 (30%)
[UE3] [2025-07-19 11:35:31] [  5]  52.00-53.00  sec  9.53 MBytes  79.9 Mbits/sec  0.074 ms  3368/10268 (33%)
[UE3] [2025-07-19 11:35:32] [  5]  53.00-54.00  sec  10.3 MBytes  86.8 Mbits/sec  0.082 ms  3155/10648 (30%)
[UE3] [2025-07-19 11:35:33] [  5]  54.00-55.00  sec  10.1 MBytes  85.0 Mbits/sec  0.078 ms  3250/10586 (31%)
[UE3] [2025-07-19 11:35:34] [  5]  55.00-56.00  sec  10.3 MBytes  86.7 Mbits/sec  0.093 ms  3185/10667 (30%)
[UE3] [2025-07-19 11:35:35] [  5]  56.00-57.00  sec  10.1 MBytes  85.0 Mbits/sec  0.102 ms  3023/10364 (29%)
[UE3] [2025-07-19 11:35:36] [  5]  57.00-58.00  sec  9.56 MBytes  80.2 Mbits/sec  0.109 ms  2600/9523 (27%)
[UE3] [2025-07-19 11:35:37] [  5]  58.00-59.00  sec  10.3 MBytes  86.7 Mbits/sec  0.072 ms  3139/10626 (30%)
[UE3] [2025-07-19 11:35:38] [  5]  59.00-60.00  sec  9.52 MBytes  79.9 Mbits/sec  0.107 ms  2772/9668 (29%)
[UE3] [2025-07-19 11:35:39] [  5]  60.00-61.00  sec  10.1 MBytes  85.0 Mbits/sec  0.117 ms  3757/11093 (34%)
[UE3] [2025-07-19 11:35:40] [  5]  61.00-62.00  sec  10.3 MBytes  86.8 Mbits/sec  0.106 ms  2974/10466 (28%)
[UE3] [2025-07-19 11:35:41] [  5]  62.00-63.00  sec  10.1 MBytes  85.0 Mbits/sec  0.083 ms  2891/10232 (28%)
[UE3] [2025-07-19 11:35:42] [  5]  63.00-64.00  sec  10.3 MBytes  86.8 Mbits/sec  0.083 ms  3321/10811 (31%)
[UE3] [2025-07-19 11:35:43] [  5]  64.00-65.00  sec  9.53 MBytes  80.0 Mbits/sec  0.104 ms  2819/9722 (29%)
[UE3] [2025-07-19 11:35:44] [  5]  65.00-66.00  sec  10.3 MBytes  86.7 Mbits/sec  0.081 ms  3310/10800 (31%)
[UE3] [2025-07-19 11:35:45] [  5]  66.00-67.00  sec  10.1 MBytes  84.5 Mbits/sec  0.129 ms  2935/10226 (29%)
[UE3] [2025-07-19 11:35:46] [  5]  67.00-68.00  sec  10.3 MBytes  86.7 Mbits/sec  0.102 ms  3159/10646 (30%)
[UE3] [2025-07-19 11:35:47] [  5]  68.00-69.00  sec  9.55 MBytes  80.1 Mbits/sec  0.120 ms  2619/9535 (27%)
[UE3] [2025-07-19 11:35:48] [  5]  69.00-70.00  sec  10.5 MBytes  87.7 Mbits/sec  0.139 ms  3431/11007 (31%)
[UE3] [2025-07-19 11:35:49] [  5]  70.00-71.00  sec  10.0 MBytes  84.0 Mbits/sec  0.094 ms  2783/10037 (28%)
[UE3] [2025-07-19 11:35:50] [  5]  71.00-72.00  sec  10.4 MBytes  86.9 Mbits/sec  0.264 ms  3087/10592 (29%)
[UE3] [2025-07-19 11:35:51] [  5]  72.00-73.00  sec  10.1 MBytes  84.8 Mbits/sec  0.115 ms  2747/10062 (27%)
[UE3] [2025-07-19 11:35:52] [  5]  73.00-74.00  sec  10.4 MBytes  86.9 Mbits/sec  0.121 ms  3071/10573 (29%)
[UE3] [2025-07-19 11:35:53] [  5]  74.00-75.00  sec  10.1 MBytes  85.0 Mbits/sec  0.076 ms  3298/10637 (31%)
[UE3] [2025-07-19 11:35:54] [  5]  75.00-76.00  sec  10.3 MBytes  86.6 Mbits/sec  0.124 ms  3010/10486 (29%)
[UE3] [2025-07-19 11:35:55] [  5]  76.00-77.00  sec  9.54 MBytes  80.1 Mbits/sec  0.098 ms  2916/9828 (30%)
[UE3] [2025-07-19 11:35:56] [  5]  77.00-78.00  sec  10.1 MBytes  85.1 Mbits/sec  0.104 ms  3067/10417 (29%)
[UE3] [2025-07-19 11:35:58] [  5]  78.00-79.00  sec  10.3 MBytes  86.6 Mbits/sec  0.076 ms  3209/10687 (30%)
[UE3] [2025-07-19 11:35:58] [  5]  79.00-80.00  sec  10.1 MBytes  85.0 Mbits/sec  0.073 ms  2876/10212 (28%)
[UE3] [2025-07-19 11:35:59] [  5]  80.00-81.00  sec  10.3 MBytes  86.8 Mbits/sec  0.077 ms  2947/10441 (28%)
